fecha_feriado;is_feriado
1/1/2017;F
25/3/2017;F
27/3/2017;F
13/4/2017;F
14/4/2017;F
1/5/2017;F
25/5/2017;F
20/6/2017;F
9/7/2017;F
17/8/2017;F
12/10/2017;F
20/11/2017;F
8/12/2017;F
25/12/2017;F
1/1/2018;F
25/3/2018;F
29/3/2018;F
30/3/2018;F
1/5/2018;F
25/5/2018;F
20/6/2018;F
9/7/2018;F
17/8/2018;F
12/10/2018;F
20/11/2018;F
8/12/2018;F
25/12/2018;F
1/1/2019;F
25/3/2019;F
18/4/2019;F
19/4/2019;F
1/5/2019;F
25/5/2019;F
20/6/2019;F
9/7/2019;F
17/8/2019;F
12/10/2019;F
20/11/2019;F
8/12/2019;F
25/12/2019;F
1/1/2020;F
25/3/2020;F
9/4/2020;F
10/4/2020;F
1/5/2020;F
25/5/2020;F
20/6/2020;F
9/7/2020;F
17/8/2020;F
12/10/2020;F
20/11/2020;F
8/12/2020;F
25/12/2020;F
1/1/2021;F
25/3/2021;F
1/4/2021;F
2/4/2021;F
1/5/2021;F
25/5/2021;F
20/6/2021;F
9/7/2021;F
17/8/2021;F
12/10/2021;F
20/11/2021;F
8/12/2021;F
25/12/2021;F
1/1/2022;F
25/3/2022;F
14/4/2022;F
15/4/2022;F
1/5/2022;F
25/5/2022;F
20/6/2022;F
9/7/2022;F
17/8/2022;F
12/10/2022;F
20/11/2022;F
8/12/2022;F
25/12/2022;F
